folder,file,oblast,area-m2
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_14_March_2022,Kharkiv,314722678.45209587
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_16_March_2022,Kharkiv,314722678.45209587
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_17_March_2022,Kharkiv,288096786.33529913
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_20_March_2022,Kharkiv,288096786.33529913
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_20_March_2022,Kherson,41279559.24686274
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_20_March_2022,Mykolayiv,363559800.5610752
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianControl_AO_9_March_2022,Kharkiv,310388263.4486002
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Chernihiv,9827882969.035114
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Dnipropetrovs'k,102790398.12884977
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Kharkiv,396101174.4541955
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Kherson,286354201.7997385
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Luhans'k,75844544.35122804
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Sumy,5980407022.663002
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives12APR,Zhytomyr,2040023961.686123
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Chernihiv,9827882969.035114
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Dnipropetrovs'k,102790398.12884977
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Kharkiv,398456153.09063476
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Kherson,286354201.7997385
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Luhans'k,75844544.35122804
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Sumy,5980407022.663002
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensives13APR,Zhytomyr,2040023961.686123
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Chernihiv,1006745863.3224201
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Dnipropetrovs'k,28154719.875108503
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Kharkiv,352292471.9784925
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Kherson,129914832.68785644
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Kiev City,74636.70137109408
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Kiev,2196255289.90053
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Sumy,271958613.53292936
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR01,Zhytomyr,3115063.47842484
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Chernihiv,1010086309.602541
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Dnipropetrovs'k,28154719.875108503
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Kharkiv,352292471.9784925
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Kherson,129914832.68785644
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Kiev,3125733306.24339
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Sumy,271958613.53292936
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR02,Zhytomyr,3115063.47842484
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Chernihiv,2377030970.7178016
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Dnipropetrovs'k,28154719.875108503
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Kharkiv,352292471.9784925
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Kherson,129914832.68785644
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Sumy,271958613.53292936
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR03,Zhytomyr,2040023961.686123
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Chernihiv,2377030970.7178016
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Dnipropetrovs'k,28154719.875108503
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Kharkiv,352292471.9784925
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Kherson,129914832.68785644
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Sumy,271958613.53292936
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR04,Zhytomyr,2040023961.686123
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Chernihiv,9816604932.239576
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Dnipropetrovs'k,28154719.875108503
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Kharkiv,407538844.2252807
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Kherson,121630013.22152424
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Sumy,271973884.8769447
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR05,Zhytomyr,2040023961.686123
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Chernihiv,9827882969.035114
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Dnipropetrovs'k,82372811.34396271
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Kharkiv,407538844.2252807
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Kherson,226880730.35614714
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Sumy,5980407022.663002
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Zaporizhzhya,50219820.04218756
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR06,Zhytomyr,2040023961.686123
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Chernihiv,9827882969.035114
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Dnipropetrovs'k,82372811.34396271
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Kharkiv,377482356.40902233
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Kherson,226880730.35614714
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Kiev City,12766554.64451098
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Kiev,7806781857.07409
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Luhans'k,75844544.35122804
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Mykolayiv,532722963.50348336
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Sumy,5980407022.663002
Claimed_Ukrainian_Counteroffensives,ClaimedUkrainianCounterOffensivesAPR08,Zaporizhzhya,50219820.04218756
